transaction_id;status;recommendation;reason;timestamp
21320438;success;deny;high_value_rapid_tx;2025-10-20T12:48:56.627667
21320439;success;deny;high_value_rapid_tx;2025-10-20T12:48:56.855056
21320440;success;approve;looks_ok;2025-10-20T12:48:57.081186
21320441;success;deny;previous_chargeback;2025-10-20T12:48:57.329286
21320442;success;approve;looks_ok;2025-10-20T12:48:57.555436
21320443;success;approve;looks_ok;2025-10-20T12:48:57.781574
21320444;success;deny;high_value_rapid_tx;2025-10-20T12:48:58.008799
21320445;success;approve;looks_ok;2025-10-20T12:48:58.235163
21320446;success;approve;looks_ok;2025-10-20T12:48:58.461582
21320447;success;approve;looks_ok;2025-10-20T12:48:58.688309
21320448;success;approve;looks_ok;2025-10-20T12:48:58.914816
21320449;success;approve;looks_ok;2025-10-20T12:48:59.142161
21320450;success;approve;looks_ok;2025-10-20T12:48:59.369227
21320451;success;approve;looks_ok;2025-10-20T12:48:59.595641
21320452;success;deny;high_value_rapid_tx;2025-10-20T12:48:59.823282
21320453;success;deny;previous_chargeback;2025-10-20T12:49:00.050805
21320454;success;deny;previous_chargeback;2025-10-20T12:49:00.278135
21320455;success;approve;looks_ok;2025-10-20T12:49:00.505469
21320456;success;approve;looks_ok;2025-10-20T12:49:00.731925
21320457;success;approve;looks_ok;2025-10-20T12:49:00.958885
21320458;success;approve;looks_ok;2025-10-20T12:49:01.185849
21320459;success;approve;looks_ok;2025-10-20T12:49:01.412988
21320460;success;deny;previous_chargeback;2025-10-20T12:49:01.640443
21320461;success;approve;looks_ok;2025-10-20T12:49:01.866862
21320462;success;approve;looks_ok;2025-10-20T12:49:02.094054
21320463;success;approve;looks_ok;2025-10-20T12:49:02.320501
21320464;success;approve;looks_ok;2025-10-20T12:49:02.547443
21320465;success;approve;looks_ok;2025-10-20T12:49:02.780797
21320466;success;approve;looks_ok;2025-10-20T12:49:03.007395
21320467;success;approve;looks_ok;2025-10-20T12:49:03.234225
21320468;success;approve;looks_ok;2025-10-20T12:49:03.460332
21320469;success;approve;looks_ok;2025-10-20T12:49:03.690156
21320470;success;approve;looks_ok;2025-10-20T12:49:03.916515
21320471;success;deny;high_value_rapid_tx;2025-10-20T12:49:04.143729
21320472;success;deny;high_value_rapid_tx;2025-10-20T12:49:04.371405
21320473;success;approve;looks_ok;2025-10-20T12:49:04.597581
21320474;success;approve;looks_ok;2025-10-20T12:49:04.824421
21320475;success;approve;looks_ok;2025-10-20T12:49:05.050988
21320476;success;approve;looks_ok;2025-10-20T12:49:05.278240
21320477;success;approve;looks_ok;2025-10-20T12:49:05.506429
21320478;success;deny;high_value_rapid_tx;2025-10-20T12:49:05.734541
21320479;success;approve;looks_ok;2025-10-20T12:49:05.960679
21320480;success;approve;looks_ok;2025-10-20T12:49:06.187797
21320481;success;approve;looks_ok;2025-10-20T12:49:06.414303
21320482;success;approve;looks_ok;2025-10-20T12:49:06.640592
21320483;success;approve;looks_ok;2025-10-20T12:49:06.866861
21320484;success;deny;previous_chargeback;2025-10-20T12:49:07.094608
21320485;success;deny;previous_chargeback;2025-10-20T12:49:07.322992
21320486;success;approve;looks_ok;2025-10-20T12:49:07.549153
21320487;success;approve;looks_ok;2025-10-20T12:49:07.775602
21320488;success;approve;looks_ok;2025-10-20T12:49:08.002559
21320489;success;approve;looks_ok;2025-10-20T12:49:08.229139
21320490;success;deny;high_value_rapid_tx;2025-10-20T12:49:08.456477
21320491;success;approve;looks_ok;2025-10-20T12:49:08.683081
21320492;success;approve;looks_ok;2025-10-20T12:49:08.910154
21320493;success;approve;looks_ok;2025-10-20T12:49:09.136891
21320494;success;deny;high_value_rapid_tx;2025-10-20T12:49:09.365221
21320495;success;approve;looks_ok;2025-10-20T12:49:09.591551
21320496;success;approve;looks_ok;2025-10-20T12:49:09.817991
21320497;success;deny;previous_chargeback;2025-10-20T12:49:10.045564
21320498;success;deny;previous_chargeback;2025-10-20T12:49:10.274637
21320499;success;approve;looks_ok;2025-10-20T12:49:10.501321
21320500;success;deny;high_value_rapid_tx;2025-10-20T12:49:10.728461
21320501;success;approve;looks_ok;2025-10-20T12:49:10.954756
21320502;success;deny;high_value_rapid_tx;2025-10-20T12:49:11.182519
21320503;success;approve;looks_ok;2025-10-20T12:49:11.409295
21320504;success;deny;high_value_rapid_tx;2025-10-20T12:49:11.636504
21320505;success;approve;looks_ok;2025-10-20T12:49:11.863725
21320506;success;approve;looks_ok;2025-10-20T12:49:12.098721
21320507;success;deny;previous_chargeback;2025-10-20T12:49:12.326321
21320508;success;approve;looks_ok;2025-10-20T12:49:12.553461
21320509;success;approve;looks_ok;2025-10-20T12:49:12.780791
21320510;success;approve;looks_ok;2025-10-20T12:49:13.007442
21320511;success;deny;previous_chargeback;2025-10-20T12:49:13.235086
21320512;success;approve;looks_ok;2025-10-20T12:49:13.462114
21320513;success;approve;looks_ok;2025-10-20T12:49:13.689047
21320514;success;deny;high_value_rapid_tx;2025-10-20T12:49:13.916802
21320515;success;approve;looks_ok;2025-10-20T12:49:14.142861
21320516;success;approve;looks_ok;2025-10-20T12:49:14.369813
21320517;success;deny;previous_chargeback;2025-10-20T12:49:14.597819
21320518;success;deny;previous_chargeback;2025-10-20T12:49:14.825932
21320519;success;approve;looks_ok;2025-10-20T12:49:15.051745
21320520;success;approve;looks_ok;2025-10-20T12:49:15.278672
21320521;success;approve;looks_ok;2025-10-20T12:49:15.505547
21320522;success;deny;previous_chargeback;2025-10-20T12:49:15.733156
21320523;success;approve;looks_ok;2025-10-20T12:49:15.959955
21320524;success;approve;looks_ok;2025-10-20T12:49:16.186983
21320525;success;approve;looks_ok;2025-10-20T12:49:16.414058
21320526;success;deny;previous_chargeback;2025-10-20T12:49:16.641668
21320527;success;approve;looks_ok;2025-10-20T12:49:16.868360
21320528;success;approve;looks_ok;2025-10-20T12:49:17.095233
21320529;success;approve;looks_ok;2025-10-20T12:49:17.322326
21320530;success;approve;looks_ok;2025-10-20T12:49:17.548970
21320531;success;approve;looks_ok;2025-10-20T12:49:17.776297
21320532;success;deny;previous_chargeback;2025-10-20T12:49:18.003904
21320533;success;deny;previous_chargeback;2025-10-20T12:49:18.232077
21320534;success;approve;looks_ok;2025-10-20T12:49:18.459135
21320535;success;approve;looks_ok;2025-10-20T12:49:18.686099
21320536;success;approve;looks_ok;2025-10-20T12:49:18.912566
21320537;success;approve;looks_ok;2025-10-20T12:49:19.139835
21320538;success;approve;looks_ok;2025-10-20T12:49:19.366674
21320539;success;approve;looks_ok;2025-10-20T12:49:19.594149
21320540;success;deny;previous_chargeback;2025-10-20T12:49:19.821813
21320541;success;approve;looks_ok;2025-10-20T12:49:20.049093
21320542;success;approve;looks_ok;2025-10-20T12:49:20.275647
21320543;success;approve;looks_ok;2025-10-20T12:49:20.504481
21320544;success;approve;looks_ok;2025-10-20T12:49:20.731105
21320545;success;deny;previous_chargeback;2025-10-20T12:49:20.959147
21320546;success;deny;previous_chargeback;2025-10-20T12:49:21.186996
21320547;success;approve;looks_ok;2025-10-20T12:49:21.413806
21320548;success;approve;looks_ok;2025-10-20T12:49:21.640555
21320549;success;approve;looks_ok;2025-10-20T12:49:21.867775
21320550;success;approve;looks_ok;2025-10-20T12:49:22.094706
21320551;success;approve;looks_ok;2025-10-20T12:49:22.321743
21320552;success;approve;looks_ok;2025-10-20T12:49:22.550077
21320553;success;approve;looks_ok;2025-10-20T12:49:22.777952
21320554;success;approve;looks_ok;2025-10-20T12:49:23.004744
21320555;success;approve;looks_ok;2025-10-20T12:49:23.231487
21320556;success;deny;previous_chargeback;2025-10-20T12:49:23.459818
21320557;success;deny;previous_chargeback;2025-10-20T12:49:23.687622
21320558;success;approve;looks_ok;2025-10-20T12:49:23.914668
21320559;success;deny;high_value_rapid_tx;2025-10-20T12:49:24.142669
21320560;success;deny;previous_chargeback;2025-10-20T12:49:24.371507
21320561;success;approve;looks_ok;2025-10-20T12:49:24.599117
21320562;success;approve;looks_ok;2025-10-20T12:49:24.826209
21320563;success;approve;looks_ok;2025-10-20T12:49:25.053605
21320564;success;deny;high_value_rapid_tx;2025-10-20T12:49:25.282311
21320565;success;approve;looks_ok;2025-10-20T12:49:25.509614
21320566;success;deny;previous_chargeback;2025-10-20T12:49:25.737243
21320567;success;approve;looks_ok;2025-10-20T12:49:25.964282
21320568;success;deny;high_value_rapid_tx;2025-10-20T12:49:26.192846
21320569;success;deny;previous_chargeback;2025-10-20T12:49:26.420773
21320570;success;deny;previous_chargeback;2025-10-20T12:49:26.649085
21320571;success;approve;looks_ok;2025-10-20T12:49:26.876444
21320572;success;deny;high_value_rapid_tx;2025-10-20T12:49:27.104540
21320573;success;approve;looks_ok;2025-10-20T12:49:27.331697
21320574;success;deny;previous_chargeback;2025-10-20T12:49:27.559752
21320575;success;deny;previous_chargeback;2025-10-20T12:49:27.788092
21320576;success;deny;high_value_rapid_tx;2025-10-20T12:49:28.016163
21320577;success;approve;looks_ok;2025-10-20T12:49:28.252284
21320578;success;approve;looks_ok;2025-10-20T12:49:28.479414
21320579;success;approve;looks_ok;2025-10-20T12:49:28.706194
21320580;success;approve;looks_ok;2025-10-20T12:49:28.934009
21320581;success;deny;previous_chargeback;2025-10-20T12:49:29.162015
21320582;success;approve;looks_ok;2025-10-20T12:49:29.389096
21320583;success;approve;looks_ok;2025-10-20T12:49:29.616404
21320584;success;approve;looks_ok;2025-10-20T12:49:29.844614
21320585;success;approve;looks_ok;2025-10-20T12:49:30.071861
21320586;success;deny;previous_chargeback;2025-10-20T12:49:30.300066
21320587;success;approve;looks_ok;2025-10-20T12:49:30.526968
21320588;success;approve;looks_ok;2025-10-20T12:49:30.754868
21320589;success;deny;previous_chargeback;2025-10-20T12:49:30.983541
21320590;success;approve;looks_ok;2025-10-20T12:49:31.210828
21320591;success;approve;looks_ok;2025-10-20T12:49:31.441122
21320592;success;approve;looks_ok;2025-10-20T12:49:31.668273
21320593;success;approve;looks_ok;2025-10-20T12:49:31.896242
21320594;success;deny;previous_chargeback;2025-10-20T12:49:32.124617
21320595;success;deny;previous_chargeback;2025-10-20T12:49:32.352945
21320596;success;approve;looks_ok;2025-10-20T12:49:32.579879
21320597;success;approve;looks_ok;2025-10-20T12:49:32.806633
21320598;success;approve;looks_ok;2025-10-20T12:49:33.033271
21320599;success;approve;looks_ok;2025-10-20T12:49:33.260274
21320600;success;approve;looks_ok;2025-10-20T12:49:33.487202
21320601;success;approve;looks_ok;2025-10-20T12:49:33.714236
21320602;success;deny;previous_chargeback;2025-10-20T12:49:33.944510
21320603;success;approve;looks_ok;2025-10-20T12:49:34.171330
21320604;success;approve;looks_ok;2025-10-20T12:49:34.398404
21320605;success;approve;looks_ok;2025-10-20T12:49:34.625571
21320606;success;approve;looks_ok;2025-10-20T12:49:34.852860
21320607;success;approve;looks_ok;2025-10-20T12:49:35.079836
21320608;success;approve;looks_ok;2025-10-20T12:49:35.306893
21320609;success;approve;looks_ok;2025-10-20T12:49:35.535643
21320610;success;approve;looks_ok;2025-10-20T12:49:35.762537
21320611;success;deny;previous_chargeback;2025-10-20T12:49:35.992347
21320612;success;approve;looks_ok;2025-10-20T12:49:36.219345
21320613;success;approve;looks_ok;2025-10-20T12:49:36.451369
21320614;success;deny;previous_chargeback;2025-10-20T12:49:36.680672
21320615;success;approve;looks_ok;2025-10-20T12:49:36.907902
21320616;success;approve;looks_ok;2025-10-20T12:49:37.135020
21320617;success;approve;looks_ok;2025-10-20T12:49:37.365597
21320618;success;approve;looks_ok;2025-10-20T12:49:37.593271
21320619;success;approve;looks_ok;2025-10-20T12:49:37.820812
21320620;success;deny;previous_chargeback;2025-10-20T12:49:38.050577
21320621;success;deny;high_value_rapid_tx;2025-10-20T12:49:38.279297
21320622;success;deny;previous_chargeback;2025-10-20T12:49:38.507831
21320623;success;approve;looks_ok;2025-10-20T12:49:38.736200
21320624;success;approve;looks_ok;2025-10-20T12:49:38.963547
21320625;success;deny;daily_limit_exceeded;2025-10-20T12:49:39.192288
21320626;success;approve;looks_ok;2025-10-20T12:49:39.420336
21320627;success;deny;previous_chargeback;2025-10-20T12:49:39.657217
21320628;success;approve;looks_ok;2025-10-20T12:49:39.885029
21320629;success;deny;previous_chargeback;2025-10-20T12:49:40.113673
21320630;success;approve;looks_ok;2025-10-20T12:49:40.340987
21320631;success;deny;previous_chargeback;2025-10-20T12:49:40.569795
21320632;success;approve;looks_ok;2025-10-20T12:49:40.796847
21320633;success;approve;looks_ok;2025-10-20T12:49:41.024143
21320634;success;deny;high_value_rapid_tx;2025-10-20T12:49:41.252714
21320635;success;deny;high_value_rapid_tx;2025-10-20T12:49:41.482596
21320636;success;approve;looks_ok;2025-10-20T12:49:41.709579
21320637;success;deny;high_value_rapid_tx;2025-10-20T12:49:41.938262
21320638;success;deny;high_value_rapid_tx;2025-10-20T12:49:42.166162
21320639;success;deny;high_value_rapid_tx;2025-10-20T12:49:42.395690
21320640;success;approve;looks_ok;2025-10-20T12:49:42.622598
21320641;success;approve;looks_ok;2025-10-20T12:49:42.850245
21320642;success;approve;looks_ok;2025-10-20T12:49:43.077477
21320643;success;approve;looks_ok;2025-10-20T12:49:43.304465
21320644;success;deny;high_value_rapid_tx;2025-10-20T12:49:43.533168
21320645;success;approve;looks_ok;2025-10-20T12:49:43.761276
21320646;success;approve;looks_ok;2025-10-20T12:49:43.988667
21320647;success;approve;looks_ok;2025-10-20T12:49:44.215345
21320648;success;approve;looks_ok;2025-10-20T12:49:44.442899
21320649;success;deny;previous_chargeback;2025-10-20T12:49:44.671568
21320650;success;approve;looks_ok;2025-10-20T12:49:44.898833
21320651;success;approve;looks_ok;2025-10-20T12:49:45.126371
21320652;success;approve;looks_ok;2025-10-20T12:49:45.353466
21320653;success;approve;looks_ok;2025-10-20T12:49:45.580710
21320654;success;deny;daily_limit_exceeded;2025-10-20T12:49:45.810368
21320655;success;deny;previous_chargeback;2025-10-20T12:49:46.041999
21320656;success;approve;looks_ok;2025-10-20T12:49:46.268739
21320657;success;approve;looks_ok;2025-10-20T12:49:46.496130
21320658;success;approve;looks_ok;2025-10-20T12:49:46.722971
21320659;success;deny;daily_limit_exceeded;2025-10-20T12:49:46.953799
21320660;success;approve;looks_ok;2025-10-20T12:49:47.181307
21320661;success;deny;previous_chargeback;2025-10-20T12:49:47.409433
21320662;success;approve;looks_ok;2025-10-20T12:49:47.637871
21320663;success;approve;looks_ok;2025-10-20T12:49:47.865401
21320664;success;approve;looks_ok;2025-10-20T12:49:48.092738
21320665;success;approve;looks_ok;2025-10-20T12:49:48.320101
21320666;success;approve;looks_ok;2025-10-20T12:49:48.547428
21320667;success;approve;looks_ok;2025-10-20T12:49:48.775515
21320668;success;approve;looks_ok;2025-10-20T12:49:49.003209
21320669;success;deny;previous_chargeback;2025-10-20T12:49:49.240791
21320670;success;approve;looks_ok;2025-10-20T12:49:49.468153
21320671;success;approve;looks_ok;2025-10-20T12:49:49.695520
21320672;success;deny;high_value_rapid_tx;2025-10-20T12:49:49.923704
21320673;success;deny;high_value_rapid_tx;2025-10-20T12:49:50.152873
21320674;success;approve;looks_ok;2025-10-20T12:49:50.380125
21320675;success;approve;looks_ok;2025-10-20T12:49:50.607618
21320676;success;deny;previous_chargeback;2025-10-20T12:49:50.837208
21320677;success;approve;looks_ok;2025-10-20T12:49:51.065429
21320678;success;deny;high_value_rapid_tx;2025-10-20T12:49:51.294102
21320679;success;approve;looks_ok;2025-10-20T12:49:51.521651
21320680;success;deny;previous_chargeback;2025-10-20T12:49:51.750493
21320681;success;approve;looks_ok;2025-10-20T12:49:51.978351
21320682;success;approve;looks_ok;2025-10-20T12:49:52.205605
21320683;success;deny;high_value_rapid_tx;2025-10-20T12:49:52.435411
21320684;success;approve;looks_ok;2025-10-20T12:49:52.663621
21320685;success;approve;looks_ok;2025-10-20T12:49:52.891081
21320686;success;deny;high_value_rapid_tx;2025-10-20T12:49:53.119761
21320687;success;approve;looks_ok;2025-10-20T12:49:53.348921
21320688;success;deny;previous_chargeback;2025-10-20T12:49:53.577588
21320689;success;approve;looks_ok;2025-10-20T12:49:53.804970
21320690;success;approve;looks_ok;2025-10-20T12:49:54.033542
21320691;success;approve;looks_ok;2025-10-20T12:49:54.260806
21320692;success;approve;looks_ok;2025-10-20T12:49:54.488332
21320693;success;approve;looks_ok;2025-10-20T12:49:54.715833
21320694;success;approve;looks_ok;2025-10-20T12:49:54.943408
21320695;success;approve;looks_ok;2025-10-20T12:49:55.171169
21320696;success;approve;looks_ok;2025-10-20T12:49:55.398433
21320697;success;deny;previous_chargeback;2025-10-20T12:49:55.627401
21320698;success;approve;looks_ok;2025-10-20T12:49:55.855267
21320699;success;deny;high_value_rapid_tx;2025-10-20T12:49:56.085302
21320700;success;approve;looks_ok;2025-10-20T12:49:56.312641
21320701;success;approve;looks_ok;2025-10-20T12:49:56.541797
21320702;success;deny;previous_chargeback;2025-10-20T12:49:56.770547
21320703;success;approve;looks_ok;2025-10-20T12:49:56.998143
21320704;success;deny;previous_chargeback;2025-10-20T12:49:57.226736
21320705;success;approve;looks_ok;2025-10-20T12:49:57.454326
21320706;success;approve;looks_ok;2025-10-20T12:49:57.681884
21320707;success;approve;looks_ok;2025-10-20T12:49:57.909445
21320708;success;approve;looks_ok;2025-10-20T12:49:58.138026
21320709;success;approve;looks_ok;2025-10-20T12:49:58.365712
21320710;success;deny;previous_chargeback;2025-10-20T12:49:58.594923
21320711;success;approve;looks_ok;2025-10-20T12:49:58.823446
21320712;success;approve;looks_ok;2025-10-20T12:49:59.051963
21320713;success;approve;looks_ok;2025-10-20T12:49:59.279033
21320714;success;deny;previous_chargeback;2025-10-20T12:49:59.507600
21320715;success;approve;looks_ok;2025-10-20T12:49:59.735468
21320716;success;approve;looks_ok;2025-10-20T12:49:59.963041
21320717;success;deny;high_value_rapid_tx;2025-10-20T12:50:00.194248
21320718;success;deny;previous_chargeback;2025-10-20T12:50:00.423222
21320719;success;approve;looks_ok;2025-10-20T12:50:00.650879
21320720;success;approve;looks_ok;2025-10-20T12:50:00.879111
21320721;success;deny;previous_chargeback;2025-10-20T12:50:01.108684
21320722;success;approve;looks_ok;2025-10-20T12:50:01.336093
21320723;success;deny;previous_chargeback;2025-10-20T12:50:01.565029
21320724;success;approve;looks_ok;2025-10-20T12:50:01.792568
21320725;success;deny;previous_chargeback;2025-10-20T12:50:02.021324
21320726;success;deny;previous_chargeback;2025-10-20T12:50:02.251035
21320727;success;deny;previous_chargeback;2025-10-20T12:50:02.479660
21320728;success;deny;high_value_rapid_tx;2025-10-20T12:50:02.708338
21320729;success;deny;previous_chargeback;2025-10-20T12:50:02.937437
21320730;success;approve;looks_ok;2025-10-20T12:50:03.166221
21320731;success;approve;looks_ok;2025-10-20T12:50:03.393849
21320732;success;approve;looks_ok;2025-10-20T12:50:03.622022
21320733;success;deny;previous_chargeback;2025-10-20T12:50:03.851251
21320734;success;approve;looks_ok;2025-10-20T12:50:04.078848
21320735;success;deny;previous_chargeback;2025-10-20T12:50:04.308408
21320736;success;deny;previous_chargeback;2025-10-20T12:50:04.537498
21320737;success;approve;looks_ok;2025-10-20T12:50:04.765684
21320738;success;deny;high_value_rapid_tx;2025-10-20T12:50:04.995334
21320739;success;approve;looks_ok;2025-10-20T12:50:05.223158
21320740;success;approve;looks_ok;2025-10-20T12:50:05.450949
21320741;success;approve;looks_ok;2025-10-20T12:50:05.678678
21320742;success;approve;looks_ok;2025-10-20T12:50:05.906294
21320743;success;approve;looks_ok;2025-10-20T12:50:06.134125
21320744;success;approve;looks_ok;2025-10-20T12:50:06.361997
21320745;success;deny;high_value_rapid_tx;2025-10-20T12:50:06.591198
21320746;success;approve;looks_ok;2025-10-20T12:50:06.818999
21320747;success;approve;looks_ok;2025-10-20T12:50:07.046959
21320748;success;deny;high_value_rapid_tx;2025-10-20T12:50:07.275761
21320749;success;approve;looks_ok;2025-10-20T12:50:07.503982
21320750;success;approve;looks_ok;2025-10-20T12:50:07.732106
21320751;success;approve;looks_ok;2025-10-20T12:50:07.959686
21320752;success;approve;looks_ok;2025-10-20T12:50:08.187655
21320753;success;deny;high_value_rapid_tx;2025-10-20T12:50:08.416121
21320754;success;approve;looks_ok;2025-10-20T12:50:08.644258
21320755;success;deny;high_value_rapid_tx;2025-10-20T12:50:08.874081
21320756;success;deny;high_value_rapid_tx;2025-10-20T12:50:09.103551
21320757;success;approve;looks_ok;2025-10-20T12:50:09.331426
21320758;success;approve;looks_ok;2025-10-20T12:50:09.559052
21320759;success;deny;previous_chargeback;2025-10-20T12:50:09.788798
21320760;success;approve;looks_ok;2025-10-20T12:50:10.016507
21320761;success;approve;looks_ok;2025-10-20T12:50:10.244294
21320762;success;approve;looks_ok;2025-10-20T12:50:10.471824
21320763;success;deny;high_value_rapid_tx;2025-10-20T12:50:10.701473
21320764;success;deny;daily_limit_exceeded;2025-10-20T12:50:10.930876
21320765;success;deny;high_value_rapid_tx;2025-10-20T12:50:11.160384
21320766;success;deny;high_value_rapid_tx;2025-10-20T12:50:11.392343
21320767;success;approve;looks_ok;2025-10-20T12:50:11.622022
21320768;success;approve;looks_ok;2025-10-20T12:50:11.851955
21320769;success;deny;high_value_rapid_tx;2025-10-20T12:50:12.083297
21320770;success;approve;looks_ok;2025-10-20T12:50:12.313748
21320771;success;approve;looks_ok;2025-10-20T12:50:12.544221
21320772;success;approve;looks_ok;2025-10-20T12:50:12.774413
21320773;success;deny;high_value_rapid_tx;2025-10-20T12:50:13.006349
21320774;success;approve;looks_ok;2025-10-20T12:50:13.236712
21320775;success;approve;looks_ok;2025-10-20T12:50:13.466870
21320776;success;deny;previous_chargeback;2025-10-20T12:50:13.698876
21320777;success;approve;looks_ok;2025-10-20T12:50:13.926678
21320778;success;deny;previous_chargeback;2025-10-20T12:50:14.156418
21320779;success;deny;high_value_rapid_tx;2025-10-20T12:50:14.386053
21320780;success;approve;looks_ok;2025-10-20T12:50:14.614162
21320781;success;deny;previous_chargeback;2025-10-20T12:50:14.843334
21320782;success;approve;looks_ok;2025-10-20T12:50:15.070774
21320783;success;deny;high_value_rapid_tx;2025-10-20T12:50:15.300292
21320784;success;deny;previous_chargeback;2025-10-20T12:50:15.530146
21320785;success;approve;looks_ok;2025-10-20T12:50:15.759573
21320786;success;approve;looks_ok;2025-10-20T12:50:15.987173
21320787;success;approve;looks_ok;2025-10-20T12:50:16.216230
21320788;success;approve;looks_ok;2025-10-20T12:50:16.444488
21320789;success;approve;looks_ok;2025-10-20T12:50:16.672742
21320790;success;deny;previous_chargeback;2025-10-20T12:50:16.901735
21320791;success;approve;looks_ok;2025-10-20T12:50:17.129936
21320792;success;approve;looks_ok;2025-10-20T12:50:17.358505
21320793;success;approve;looks_ok;2025-10-20T12:50:17.586421
21320794;success;approve;looks_ok;2025-10-20T12:50:17.814828
21320795;success;deny;previous_chargeback;2025-10-20T12:50:18.044081
21320796;success;approve;looks_ok;2025-10-20T12:50:18.273732
21320797;success;approve;looks_ok;2025-10-20T12:50:18.501712
21320798;success;approve;looks_ok;2025-10-20T12:50:18.729347
21320799;success;deny;previous_chargeback;2025-10-20T12:50:18.958717
21320800;success;deny;previous_chargeback;2025-10-20T12:50:19.187829
21320801;success;deny;previous_chargeback;2025-10-20T12:50:19.417732
21320802;success;deny;high_value_rapid_tx;2025-10-20T12:50:19.647280
21320803;success;deny;previous_chargeback;2025-10-20T12:50:19.876726
21320804;success;approve;looks_ok;2025-10-20T12:50:20.104604
21320805;success;approve;looks_ok;2025-10-20T12:50:20.335042
21320806;success;approve;looks_ok;2025-10-20T12:50:20.562916
21320807;success;approve;looks_ok;2025-10-20T12:50:20.791190
21320808;success;approve;looks_ok;2025-10-20T12:50:21.025341
21320809;success;approve;looks_ok;2025-10-20T12:50:21.253693
21320810;success;approve;looks_ok;2025-10-20T12:50:21.481498
21320811;success;approve;looks_ok;2025-10-20T12:50:21.709402
21320812;success;deny;previous_chargeback;2025-10-20T12:50:21.938862
21320813;success;deny;previous_chargeback;2025-10-20T12:50:22.168274
21320814;success;deny;previous_chargeback;2025-10-20T12:50:22.397981
21320815;success;approve;looks_ok;2025-10-20T12:50:22.626418
21320816;success;approve;looks_ok;2025-10-20T12:50:22.854296
21320817;success;deny;previous_chargeback;2025-10-20T12:50:23.084039
21320818;success;approve;looks_ok;2025-10-20T12:50:23.312143
21320819;success;deny;high_value_rapid_tx;2025-10-20T12:50:23.541965
21320820;success;deny;previous_chargeback;2025-10-20T12:50:23.772785
21320821;success;approve;looks_ok;2025-10-20T12:50:24.000934
21320822;success;approve;looks_ok;2025-10-20T12:50:24.228981
21320823;success;deny;previous_chargeback;2025-10-20T12:50:24.459108
21320824;success;approve;looks_ok;2025-10-20T12:50:24.687822
21320825;success;approve;looks_ok;2025-10-20T12:50:24.915897
21320826;success;approve;looks_ok;2025-10-20T12:50:25.148112
21320827;success;deny;high_value_rapid_tx;2025-10-20T12:50:25.378274
21320828;success;approve;looks_ok;2025-10-20T12:50:25.606274
21320829;success;approve;looks_ok;2025-10-20T12:50:25.834271
21320830;success;approve;looks_ok;2025-10-20T12:50:26.063588
21320831;success;approve;looks_ok;2025-10-20T12:50:26.292326
21320832;success;deny;previous_chargeback;2025-10-20T12:50:26.521590
